epoch,train_loss,train_accuracy
0,1.6347554053124265,0.38
1,5.936552358542475,0.3075
2,3.635028011960668,0.38
3,1.0274732967965499,0.595
4,0.9017156341761041,0.615
5,0.8597116269991721,0.6375
6,0.8313113187878958,0.635
7,0.8181436054462401,0.635
8,0.8073335461301591,0.6425
9,0.8011352814936822,0.64
10,0.7998917099647218,0.625
11,0.7991867505809094,0.64
12,0.8110870881693455,0.6375
13,0.8927925550700351,0.6425
14,0.9950156105160534,0.5975
15,0.8630765409425583,0.62
16,0.79997822645506,0.6475
17,0.7841232961329042,0.6475
18,0.7741616501170279,0.655
19,0.7804228492151799,0.6525
20,0.793073838340037,0.64
21,0.7849132022575529,0.6475
22,0.8079238657071983,0.62
23,0.7869702640479593,0.655
24,0.7826321665623326,0.595
25,0.7688565724989056,0.65
26,0.7654947357370645,0.6125
27,0.7600438083384208,0.64
28,0.778640119589108,0.625
29,0.8249566566464192,0.645
