epoch,train_loss,train_accuracy
0,1.6344037816055665,0.4225
1,5.939199477615291,0.3075
2,3.636968527662396,0.38
3,1.0278411815231119,0.595
4,0.9021475767467425,0.615
5,0.8601247851691675,0.6375
6,0.831593351616855,0.635
7,0.8179593462564289,0.635
8,0.8077696311981221,0.63
9,0.8024330271361384,0.64
10,0.8045877307510381,0.645
11,0.8331635994381525,0.635
12,0.9119338532571664,0.61
13,0.8653374832657161,0.6325
14,0.8192859517095968,0.645
15,0.8053013744661732,0.6475
16,0.7894563234102475,0.64
17,0.7862687397013078,0.6475
18,0.7957732126672832,0.6275
19,0.786364618468451,0.64
20,0.8040122969634624,0.615
21,0.7885466504950368,0.655
22,0.7910316510397777,0.5975
23,0.7753910707412107,0.65
24,0.7811362276504111,0.625
25,0.7738138286303845,0.6475
26,0.8069748349073042,0.63
27,0.8878082761064096,0.65
28,0.8778309936044265,0.6425
29,0.8908150316394517,0.6025
