epoch,train_loss,train_accuracy
0,1.2574506105554255,0.58
1,9.916955919061143,0.3075
2,7.810811248415233,0.115
3,1.4339082617958343,0.585
4,1.1572674384942219,0.5825
5,2.3671800900453177,0.33
6,2.4478617420297892,0.5825
7,1.3930886364511965,0.38
8,1.3312711232773142,0.5825
9,1.4715905515631238,0.3825
10,2.282713637122314,0.5825
11,1.3098471892335573,0.3425
12,1.3373658739339265,0.5825
13,1.774282474158228,0.3375
14,1.8448207170517787,0.5825
15,1.1617572972948074,0.405
16,1.1197405586909932,0.5825
17,1.1578858604711373,0.385
18,1.5102956069308786,0.5825
19,1.1777223709359697,0.36
20,1.2483932178836725,0.5825
21,1.3359430770997505,0.345
22,1.4426144564821062,0.5825
23,1.0094068900479518,0.4175
24,1.065121043154258,0.5825
25,1.1691070446487668,0.36
26,1.2921138655204287,0.5825
27,1.0730151010836937,0.39
28,1.1289756134277662,0.5825
29,1.1286062792161338,0.3675
