epoch,train_loss,train_accuracy
0,1.6347554053124265,0.38
1,1.2790882546099573,0.4025
2,1.1206010426844708,0.4525
3,1.0533511975577263,0.4975
4,1.017756612906784,0.5525
5,0.9918628464282677,0.595
6,0.9712724453559207,0.625
7,0.9537839874097551,0.63
8,0.9386964336847486,0.6325
9,0.925679307305011,0.645
10,0.9143238392869284,0.635
11,0.9042337668480375,0.64
12,0.8950448737638087,0.64
13,0.886719697728317,0.6475
14,0.8790183795653397,0.6525
15,0.8718654091389602,0.655
16,0.865076613687817,0.6525
17,0.8586511874682147,0.6525
18,0.852566785992748,0.6475
19,0.8476404449017513,0.6525
20,0.8486887888922512,0.6525
21,0.8621538443608954,0.6525
22,0.8514988826070055,0.6375
23,0.8387676539578819,0.6575
24,0.8309346677934886,0.6425
25,0.8244662481571783,0.655
26,0.8197120562717024,0.645
27,0.8152610289502864,0.655
28,0.8114621741779945,0.6475
29,0.8079563042113214,0.655
