epoch,train_loss,train_accuracy
0,1.634755405312427,0.38
1,5.936552358542476,0.3075
2,3.6350280119606704,0.38
3,1.0274732967965499,0.595
4,0.9017156341761043,0.615
5,0.859711626999172,0.6375
6,0.8313113187878958,0.635
7,0.8181436054462397,0.635
8,0.8073335461301591,0.6425
9,0.8011352814936822,0.64
10,0.7998917099647221,0.625
11,0.7991867505809094,0.64
12,0.8110870881693458,0.6375
13,0.8927925550700361,0.6425
14,0.9950156105160519,0.5975
15,0.8630765409425579,0.62
16,0.7999782264550597,0.6475
17,0.7841232961329041,0.6475
18,0.7741616501170279,0.655
19,0.7804228492151799,0.6525
20,0.7930738383400373,0.64
21,0.7849132022575529,0.6475
22,0.8079238657071983,0.62
23,0.7869702640479593,0.655
24,0.7826321665623326,0.595
25,0.7688565724989056,0.65
26,0.7654947357370645,0.6125
27,0.7600438083384203,0.64
28,0.7786401195891055,0.625
29,0.8249566566464014,0.645
